Offender Characteristics from NCRP,,Year,,,,,,,,,
State,Race/Hispanic Ethnicity of Inmate,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,"Other race(s), non-Hispanic",31,34,32,29,34,33,36,32,37,40
,Missing,52,48,59,61,61,61,60,75,73,65
TEXAS,"White, non-Hispanic",53408,52905,51747,52851,52970,52757,53025,52724,53445,51970
,"Black, non-Hispanic",62115,61315,58563,58330,56528,54495,54036,52955,52886,51082
,"Hispanic, any race",57287,57124,55246,56282,55724,55799,55756,55976,56434,54519
,"Other race(s), non-Hispanic",839,879,816,817,819,851,883,867,863,859
,Missing,*,*,*,*,*,*,*,*,*,*
UTAH,"White, non-Hispanic",4466,4511,4583,4656,4623,4192,3886,3916,4170,4003
,"Black, non-Hispanic",427,428,398,412,396,374,363,367,383,397
,"Hispanic, any race",1461,1490,1522,1545,1516,1418,1411,1429,1560,1583
,"Other race(s), non-Hispanic",243,252,242,246,282,265,264,261,289,299
,Missing,210,199,216,217,214,247,251,246,249,389
VERMONT,"White, non-Hispanic",*,*,*,*,*,1500,1485,1339,1430,1408
,"Black, non-Hispanic",*,*,*,*,*,172,174,133,156,138
,"Hispanic, any race",*,*,*,*,*,22,*,10,10,*
,"Other race(s), non-Hispanic",*,*,*,*,*,17,31,28,20,21
,Missing,2079,2053,2034,2078,*,39,36,35,42,36
VIRGINIA,"White, non-Hispanic",7626,7171,13761,14074,14712,15278,15082,15168,15124,15011
,"Black, non-Hispanic",14487,13564,22180,21809,21760,21979,21580,20847,20323,19802
,"Hispanic, any race",813,838,747,831,827,962,964,938,1005,1071
,"Other race(s), non-Hispanic",104,97,151,150,146,168,173,184,187,185
,Missing,14608,16460,205,118,99,16,15,21,21,22
WASHINGTON,"White, non-Hispanic",11677,11586,11352,11825,11980,12113,12580,8703,7656,8263
,"Black, non-Hispanic",3431,3349,3175,3320,3267,3275,3461,2689,2403,2581
,"Hispanic, any race",1498,1341,1228,1213,1168,1143,1159,1028,1129,1528
,"Other race(s), non-Hispanic",1601,1530,1458,1528,1597,1638,1795,1330,1230,1379
,Missing,28,42,58,98,107,115,109,5907,7105,5511
WEST VIRGINIA,"White, non-Hispanic",5631,5766,6015,5805,5248,6092,6166,6120,5818,5868
,"Black, non-Hispanic",812,806,812,775,723,859,892,866,847,828
,"Hispanic, any race",36,33,33,39,37,*,31,40,33,28
,"Other race(s), non-Hispanic",60,67,65,73,71,72,63,63,73,69
,Missing,142,153,145,132,817,86,11,*,*,*
