State.Code,NAME,residents_2015_white_nh,residents_2015_black_nh,residents_2016_white_nh,residents_2016_black_nh,residents_2017_white_nh,residents_2017_black_nh,residents_2018_white_nh,residents_2018_black_nh,residents_2019_white_nh,residents_2019_black_nh,Region,Division,incarcerated_white_nh_2015,incarcerated_white_nh_2016,incarcerated_white_nh_2017,incarcerated_white_nh_2018,incarcerated_white_nh_2019,incarcerated_black_nh_2015,incarcerated_black_nh_2016,incarcerated_black_nh_2017,incarcerated_black_nh_2018,incarcerated_black_nh_2019,white_incarceration_rate_2015,white_incarceration_rate_2016,white_incarceration_rate_2017,white_incarceration_rate_2018,white_incarceration_rate_2019,black_incarceration_rate_2015,black_incarceration_rate_2016,black_incarceration_rate_2017,black_incarceration_rate_2018,black_incarceration_rate_2019,white_incarceration_rate_2015_2019,black_incarceration_rate_2015_2019,incarceration_2015_2019_RR
OR,Oregon,2027137,51460,2040240,53346,2040886,54639,2032599,56022,2023351,57404,West,Pacific,11355,11299,11303,11329,10757,1411,1389,1385,1393,1436,560.1496100164912,553.8073952084069,553.8280923089286,557.3652255068511,531.6428044367982,2741.935483870968,2603.756607805646,2534.819451307674,2486.523151619007,2501.567834994077,551.3586254954952,2573.7205059194744,4.667960900414902
PA,Pennsylvania,6477037,932261,6402534,933421,6325042,934467,6248992,936537,6168107,935827,Northeast,Middle Atlantic,20601,20775,20577,20389,20086,23764,23137,22591,21882,20846,318.06210154427094,324.48090084332233,325.3259029742411,326.276621893579,325.6428593083745,2549.071558286789,2478.7314620091042,2417.5278527759674,2336.4800322891674,2227.548467825784,323.9576773127576,2401.8718746373625,7.414153276319887
RI,Rhode Island,525536,43122,518825,43870,511728,44278,505021,45182,497429,45682,Northeast,New England,1379,1286,1243,1195,1142,968,915,823,803,782,262.39877001765814,247.86777815255627,242.90247944220368,236.6238235637726,229.5805029461491,2244.7938407309493,2085.7077729655803,1858.7108722164505,1777.2564295515913,1711.8339827503173,243.87467082446796,1935.6605796429776,7.937112013720339
SC,South Carolina,2022092,894626,2036139,898064,2046956,899579,2057128,900454,2067270,900612,South,South Atlantic,7284,7607,7266,7057,6950,13008,12602,12001,11335,10993,360.2209988467389,373.5992483813728,354.96610576876105,343.0510887023073,336.1921761550257,1454.0154209692096,1403.2407489889363,1334.0684920390538,1258.8094450132933,1220.614426634333,353.6059235708411,1334.1497067289652,3.772984607430318
SD,South Dakota,454270,10111,453237,11321,452544,12410,450778,12739,449947,13368,Midwest,West North Central,2129,2179,2196,2128,1998,240,302,307,305,289,468.66401039029654,480.7639270403784,485.25668222316506,472.0727275954017,444.0522994930514,2373.6524577193154,2667.6088684745164,2473.8114423851735,2394.222466441636,2161.8791143028125,470.16192934845867,2414.23486986469,5.134900805793209
TN,Tennessee,3220228,760742,3226593,764926,3234634,770106,3241133,773622,3242643,773960,South,East South Central,15112,15335,16214,14514,14633,12366,12195,12071,11125,11012,469.2835414138378,475.26911513165743,501.26227573196843,447.80636894567425,451.26768503347427,1625.5182440301705,1594.2718642064722,1567.446559304823,1438.040800287479,1422.8125484521163,468.9777972513224,1529.618003256212,3.2616000420943143
TX,Texas,7816040,2255087,7808302,2303746,7779749,2348223,7745519,2386237,7724202,2426178,South,West South Central,53390,53918,53771,54983,53597,54941,54544,53467,53424,51584,683.0824816659075,690.5214475567159,691.1662574203872,709.8685059064474,693.8839766230867,2436.313986999171,2367.622125008573,2276.913223318228,2238.8388077127292,2126.1424347265533,693.704533834509,2289.166115553051,3.299915171232191
UT,Utah,1514092,20836,1537244,22213,1559743,23723,1580620,24760,1601438,25939,West,Mountain,4243,3956,4120,4217,4048,422,413,441,448,471,280.2339620049508,257.34366177392786,264.14608047607845,266.7940428439473,252.77282042764065,2025.340756383183,1859.2715977130508,1858.9554440838006,1809.3699515347334,1815.7986044180577,264.258113505309,1873.747270826565,7.090595047288572
VA,Virginia,3502020,1105354,3476435,1108435,3452084,1112334,3424195,1113387,3399488,1114183,South,South Atlantic,15276,15060,14291,15121,15005,21981,21587,19659,20326,19808,436.2053900320387,433.20240418704793,413.9818150427394,441.59284152917695,441.3899975525726,1988.5936993940402,1947.5206033732245,1767.3648382590122,1825.6006222454546,1777.8049027852696,433.2744896687151,1861.3769332114002,4.296068606842335
VT,Vermont,390173,5203,385326,5372,381304,5566,377525,5722,373551,5939,Northeast,New England,1498,1491,1355,1418,1386,175,175,173,174,141,383.93225569170596,386.94508026969373,355.3595031785662,375.6042646182372,371.03367411678727,3363.4441668268305,3257.632166790767,3108.1566654689186,3040.8947920307583,2374.13706011113,374.5749555749981,3028.852970245681,8.08610646591731
WA,Washington,3355835,190708,3367766,197046,3373602,203831,3364244,210395,3348704,216276,West,Pacific,11111,11486,11734,11547,11262,3237,3410,3461,3440,3275,331.09494358334064,341.0569499187295,347.8181480803011,343.22718566191986,336.3092109663918,1697.3593137152086,1730.5603767648163,1697.9752834455996,1635.0198436274627,1514.2688046755072,339.9012876421366,1655.0367244457186,4.869168739920209
WI,Wisconsin,3127061,243791,3104196,244562,3081866,245789,3061006,246383,3038606,246887,Midwest,East North Central,10604,10625,10922,10899,10815,9330,9622,9852,10065,10003,339.10435389651815,342.27864477629635,354.3956810581641,356.05941314718103,355.9197869022835,3827.0485784955144,3934.3806478520783,4008.3160759838725,4085.1032741707018,4051.6511602474006,349.55157595608864,3981.2999473499135,11.389735367263949
WV,West Virginia,1102369,45195,1086165,44796,1068753,44297,1052156,43766,1037471,43495,South,South Atlantic,6226,6190,6115,5827,5819,815,886,863,861,875,564.7836613692874,569.8949975372066,572.1621366209031,553.8152137135557,560.8831475771372,1803.2968248700076,1977.8551656397892,1948.213197281983,1967.2805374034638,2011.7254856880102,564.307831363618,1941.6742421766508,3.4408068331866044
WY,Wyoming,325159,4826,320924,4672,314737,4555,310738,4484,308697,4426,West,Mountain,1860,1801,1877,1917,1864,127,127,124,127,129,572.0278386881495,561.1920579327193,596.370938275449,616.9184328920184,603.8283494818544,2631.5789473684213,2718.321917808219,2722.283205268935,2832.292595896521,2914.5955716222325,590.0675234540381,2763.8144475928657,4.683895211542084
