"Label (Grouping)","Occupied housing units","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Hispanic or Latino origin","White alone, not Hispanic or Latino","AGE OF HOUSEHOLDER","AGE OF HOUSEHOLDER!!Under 35 years","AGE OF HOUSEHOLDER!!35 to 44 years","AGE OF HOUSEHOLDER!!45 to 54 years","AGE OF HOUSEHOLDER!!55 to 64 years","AGE OF HOUSEHOLDER!!65 to 74 years","AGE OF HOUSEHOLDER!!75 to 84 years","AGE OF HOUSEHOLDER!!85 years and over","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1970 to 1979","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1969 or earlier"
"        Margin of Error","±2,983","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.2","±0.3","±0.2","±0.2","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","913,043","","","89.1%","5.4%","0.1%","2.8%","0.0%","1.5%","1.1%","5.5%","85.4%","","7.8%","16.8%","25.3%","23.2%","14.7%","8.4%","3.9%","","5.8%","22.9%","25.7%","45.7%","","8.6%","38.8%","22.4%","13.0%","8.6%","8.4%"
"        Margin of Error","±4,507","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.4","","±0.2","±0.3","±0.3","±0.2","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","443,163","","","65.9%","17.6%","0.3%","4.5%","0.1%","9.1%","2.6%","22.4%","54.3%","","31.6%","19.4%","18.4%","13.2%","7.9%","5.6%","3.9%","","17.0%","30.1%","27.7%","25.2%","","44.9%","43.1%","7.5%","2.4%","1.0%","1.1%"
"        Margin of Error","±3,378","","","±0.4","±0.3","±0.1","±0.2","±0.1","±0.3","±0.2","±0.4","±0.4","","±0.5","±0.4","±0.4","±0.3","±0.2","±0.2","±0.2","","±0.4","±0.5","±0.6","±0.5","","±0.5","±0.6","±0.3","±0.1","±0.1","±0.1"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","339,046","","","73.7%","19.9%","0.4%","2.9%","0.0%","1.7%","1.4%","5.8%","70.1%","","17.1%","16.9%","21.0%","19.7%","14.6%","7.8%","2.8%","","10.1%","28.4%","29.3%","32.2%","","21.5%","43.3%","17.2%","8.6%","4.9%","4.4%"
"        Margin of Error","±1,589","","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","","±0.3","±0.3","±0.3","±0.2","±0.2","±0.2","±0.1","","±0.3","±0.5","±0.5","±0.5","","±0.5","±0.6","±0.4","±0.3","±0.2","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","242,860","","","80.5%","14.6%","0.4%","2.5%","0.0%","1.0%","1.0%","4.0%","77.9%","","9.5%","15.7%","22.4%","22.8%","17.5%","9.2%","2.9%","","8.0%","27.4%","28.8%","35.8%","","9.6%","44.9%","21.8%","11.3%","6.5%","5.9%"
"        Margin of Error","±2,020","","","±0.4","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.4","","±0.3","±0.4","±0.4","±0.3","±0.3","±0.3","±0.2","","±0.3","±0.5","±0.5","±0.6","","±0.4","±0.6","±0.5","±0.4","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","96,186","","","56.4%","33.4%","0.3%","4.1%","0.1%","3.4%","2.2%","10.5%","50.5%","","36.4%","19.9%","17.6%","11.8%","7.4%","4.2%","2.6%","","15.4%","30.8%","30.7%","23.2%","","51.7%","39.3%","5.7%","1.9%","0.8%","0.6%"
"        Margin of Error","±1,681","","","±1.0","±0.9","±0.1","±0.3","±0.1","±0.5","±0.3","±0.6","±1.0","","±1.0","±0.9","±0.9","±0.7","±0.5","±0.4","±0.3","","±0.8","±1.0","±1.1","±0.9","","±1.4","±1.3","±0.5","±0.3","±0.2","±0.1"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","267,415","","","45.0%","46.2%","0.4%","3.7%","0.0%","2.6%","2.1%","7.8%","40.7%","","29.7%","19.5%","16.5%","15.8%","10.1%","5.6%","2.7%","","9.6%","16.2%","17.5%","56.8%","","33.0%","39.8%","12.2%","6.1%","4.6%","4.3%"
"        Margin of Error","±1,579","","","±0.4","±0.4","±0.1","±0.2","±0.1","±0.2","±0.2","±0.3","±0.3","","±0.4","±0.3","±0.3","±0.2","±0.2","±0.2","±0.1","","±0.4","±0.5","±0.5","±0.5","","±0.6","±0.6","±0.4","±0.3","±0.2","±0.2"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","111,198","","","51.5%","41.9%","0.3%","3.4%","0.0%","1.3%","1.6%","5.7%","48.0%","","12.5%","20.4%","19.5%","20.3%","14.7%","8.6%","4.1%","","4.7%","10.9%","14.9%","69.5%","","13.8%","40.1%","18.2%","10.6%","8.2%","9.0%"
"        Margin of Error","±1,568","","","±0.7","±0.7","±0.1","±0.3","±0.1","±0.2","±0.2","±0.4","±0.7","","±0.5","±0.6","±0.6","±0.6","±0.4","±0.4","±0.3","","±0.4","±0.5","±0.7","±0.8","","±0.7","±0.8","±0.7","±0.5","±0.5","±0.4"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","156,217","","","40.3%","49.3%","0.4%","3.9%","0.0%","3.5%","2.5%","9.3%","35.5%","","41.9%","18.9%","14.5%","12.6%","6.9%","3.6%","1.7%","","13.0%","20.0%","19.3%","47.7%","","46.7%","39.6%","7.8%","3.0%","2.0%","0.9%"
