"Label (Grouping)","Occupied housing units","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Hispanic or Latino origin","White alone, not Hispanic or Latino","AGE OF HOUSEHOLDER","AGE OF HOUSEHOLDER!!Under 35 years","AGE OF HOUSEHOLDER!!35 to 44 years","AGE OF HOUSEHOLDER!!45 to 54 years","AGE OF HOUSEHOLDER!!55 to 64 years","AGE OF HOUSEHOLDER!!65 to 74 years","AGE OF HOUSEHOLDER!!75 to 84 years","AGE OF HOUSEHOLDER!!85 years and over","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1970 to 1979","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1969 or earlier"
"        Margin of Error","±9,594","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,742,514","","","72.9%","21.0%","1.0%","1.9%","0.0%","1.9%","1.3%","5.7%","69.5%","","19.8%","18.8%","20.3%","18.6%","12.9%","7.1%","2.6%","","12.9%","24.5%","32.8%","29.7%","","24.9%","42.1%","16.2%","7.3%","5.1%","4.4%"
"        Margin of Error","±9,967","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,461,741","","","80.1%","15.0%","1.0%","1.8%","0.0%","1.1%","1.0%","3.7%","77.7%","","10.2%","17.7%","22.0%","22.1%","16.2%","8.8%","2.9%","","10.6%","23.9%","31.5%","34.0%","","10.2%","43.8%","22.1%","10.4%","7.3%","6.2%"
"        Margin of Error","±13,326","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,280,773","","","59.0%","32.4%","1.1%","2.2%","0.1%","3.5%","1.8%","9.4%","53.7%","","38.2%","20.9%","16.9%","11.9%","6.4%","3.7%","2.0%","","17.4%","25.8%","35.3%","21.5%","","53.0%","39.0%","4.8%","1.5%","0.8%","0.9%"
"        Margin of Error","±7,026","","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","","±0.3","±0.3","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.2","","±0.3","±0.3","±0.2","±0.1","±0.1","±0.1"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","292,616","","","92.3%","1.3%","3.8%","0.9%","0.0%","0.5%","1.1%","1.7%","91.3%","","27.2%","14.6%","18.2%","17.9%","10.6%","7.8%","3.6%","","8.0%","26.3%","38.5%","27.2%","","28.8%","38.0%","15.1%","8.0%","5.8%","4.4%"
"        Margin of Error","±1,578","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.3","±0.2","±0.2","±0.2","±0.2","±0.2","±0.2","","±0.3","±0.5","±0.5","±0.5","","±0.5","±0.6","±0.3","±0.2","±0.2","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","190,620","","","95.5%","0.2%","2.7%","0.4%","0.0%","0.3%","0.8%","1.1%","94.8%","","15.8%","16.0%","21.1%","22.2%","13.3%","8.7%","2.9%","","7.0%","26.5%","36.5%","30.1%","","15.0%","38.8%","20.1%","11.3%","8.6%","6.3%"
"        Margin of Error","±1,601","","","±0.2","±0.1","±0.2","±0.1","±0.1","±0.1","±0.2","±0.1","±0.3","","±0.4","±0.3","±0.3","±0.3","±0.2","±0.3","±0.2","","±0.3","±0.6","±0.6","±0.5","","±0.5","±0.5","±0.4","±0.3","±0.3","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","101,996","","","86.4%","3.3%","5.9%","1.8%","0.0%","0.8%","1.7%","2.7%","84.8%","","48.5%","11.9%","12.9%","10.0%","5.6%","6.2%","5.0%","","9.9%","26.0%","42.2%","21.9%","","54.7%","36.5%","5.7%","1.8%","0.6%","0.7%"
"        Margin of Error","±1,550","","","±0.6","±0.3","±0.4","±0.2","±0.1","±0.2","±0.3","±0.3","±0.6","","±0.9","±0.6","±0.6","±0.6","±0.4","±0.4","±0.4","","±0.6","±0.9","±1.0","±1.0","","±1.0","±1.0","±0.5","±0.2","±0.1","±0.1"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,570,015","","","84.3%","12.1%","0.2%","1.5%","0.0%","0.6%","1.3%","2.3%","82.8%","","19.0%","16.9%","20.7%","19.7%","12.6%","7.8%","3.4%","","10.3%","32.2%","30.6%","26.8%","","22.8%","39.4%","17.2%","8.5%","6.4%","5.7%"
"        Margin of Error","±10,810","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,056,206","","","90.6%","6.7%","0.1%","1.2%","0.0%","0.4%","0.9%","1.5%","89.6%","","10.4%","16.0%","22.3%","22.9%","15.4%","9.4%","3.6%","","8.0%","32.0%","29.0%","31.1%","","9.3%","38.8%","22.9%","11.8%","9.2%","8.1%"
"        Margin of Error","±14,821","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,513,809","","","71.5%","22.9%","0.3%","2.1%","0.0%","1.1%","2.1%","3.9%","69.2%","","36.2%","18.6%","17.2%","13.2%","7.1%","4.5%","3.1%","","15.0%","32.7%","34.0%","18.3%","","50.2%","40.6%","5.7%","1.9%","0.8%","0.8%"
"        Margin of Error","±7,184","","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.2","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,450,117","","","77.8%","7.1%","6.2%","1.5%","0.1%","1.8%","5.5%","6.2%","74.1%","","22.4%","16.8%","19.0%","18.5%","12.9%","7.6%","2.8%","","11.7%","29.3%","33.6%","25.4%","","27.6%","41.2%","15.0%","7.5%","5.4%","3.4%"
"        Margin of Error","±3,649","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","964,573","","","82.3%","4.4%","5.8%","1.3%","0.0%","1.4%","4.8%","4.6%","79.5%","","13.0%","15.5%","20.6%","22.0%","16.3%","9.5%","3.1%","","9.9%","28.5%","32.2%","29.4%","","13.0%","43.4%","20.5%","10.6%","7.7%","4.8%"
"        Margin of Error","±4,453","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.2","±0.1","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.2","","±0.2","±0.3","±0.2","±0.2","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","485,544","","","69.0%","12.6%","7.0%","1.9%","0.2%","2.6%","6.7%","9.3%","63.4%","","41.1%","19.2%","15.9%","11.5%","6.1%","3.9%","2.3%","","15.4%","30.9%","36.3%","17.3%","","56.6%","36.6%","4.2%","1.4%","0.6%","0.6%"
"        Margin of Error","±3,576","","","±0.4","±0.3","±0.2","±0.1","±0.1","±0.2","±0.2","±0.2","±0.3","","±0.4","±0.3","±0.3","±0.2","±0.2","±0.1","±0.1","","±0.3","±0.3","±0.4","±0.3","","±0.4","±0.4","±0.1","±0.1","±0.1","±0.1"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,522,988","","","89.0%","1.6%","1.1%","3.2%","0.3%","2.3%","2.6%","7.7%","84.1%","","20.1%","17.2%","18.6%","20.1%","13.3%","7.2%","3.5%","","8.7%","21.8%","37.3%","32.2%","","28.1%","43.3%","15.6%","6.5%","4.2%","2.3%"
"        Margin of Error","±4,103","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.3","±0.2","","±0.3","±0.3","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","936,806","","","91.9%","0.8%","0.8%","3.1%","0.1%","1.4%","1.9%","5.0%","88.6%","","8.8%","16.0%","20.4%","24.9%","17.4%","9.0%","3.5%","","6.4%","20.3%","35.7%","37.5%","","12.2%","45.4%","22.5%","9.8%","6.7%","3.5%"
"        Margin of Error","±5,825","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.2","±0.4","±0.3","±0.2","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","586,182","","","84.3%","2.8%","1.5%","3.4%","0.5%","3.8%","3.7%","12.0%","77.0%","","38.3%","19.2%","15.6%","12.5%","6.7%","4.2%","3.6%","","12.2%","24.2%","39.8%","23.7%","","53.4%","40.0%","4.6%","1.3%","0.4%","0.3%"
"        Margin of Error","±4,559","","","±0.3","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","±0.3","±0.3","","±0.4","±0.3","±0.3","±0.3","±0.2","±0.2","±0.2","","±0.4","±0.4","±0.4","±0.4","","±0.5","±0.5","±0.2","±0.1","±0.1","±0.1"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,957,736","","","85.1%","9.9%","0.2%","2.3%","0.0%","1.4%","1.1%","4.3%","82.7%","","16.9%","16.4%","20.9%","20.0%","13.1%","8.6%","4.0%","","10.1%","34.5%","25.8%","29.7%","","19.6%","38.0%","17.5%","10.0%","7.3%","7.7%"
"        Margin of Error","±9,670","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,446,230","","","90.1%","6.3%","0.1%","2.0%","0.0%","0.7%","0.7%","2.6%","88.6%","","9.4%","16.1%","22.8%","23.1%","15.4%","9.5%","3.7%","","8.0%","34.3%","24.9%","32.8%","","8.4%","36.0%","21.9%","13.3%","10.0%","10.5%"
"        Margin of Error","±15,082","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,511,506","","","73.7%","18.2%","0.3%","3.2%","0.0%","2.7%","1.9%","8.2%","69.2%","","34.2%","17.3%","16.5%","12.9%","8.0%","6.5%","4.7%","","14.8%","34.9%","27.9%","22.4%","","44.9%","42.5%","7.4%","2.5%","1.2%","1.5%"
"        Margin of Error","±8,256","","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.2","±0.2","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","409,569","","","85.6%","5.4%","0.4%","2.3%","0.0%","4.6%","1.6%","9.7%","81.0%","","17.5%","17.0%","21.9%","19.7%","12.1%","7.7%","4.1%","","13.2%","24.9%","28.6%","33.2%","","23.3%","38.1%","16.9%","9.0%","6.4%","6.3%"
"        Margin of Error","±1,699","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","±0.3","","±0.3","±0.2","±0.3","±0.2","±0.2","±0.2","±0.2","","±0.4","±0.5","±0.5","±0.5","","±0.4","±0.5","±0.4","±0.2","±0.2","±0.2"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","246,829","","","92.0%","2.8%","0.2%","1.9%","0.0%","2.1%","1.0%","4.5%","89.6%","","8.3%","16.2%","24.3%","23.6%","14.5%","9.0%","4.1%","","8.6%","22.9%","27.2%","41.3%","","8.9%","35.8%","22.3%","13.1%","10.0%","9.8%"
"        Margin of Error","±2,163","","","±0.3","±0.2","±0.1","±0.2","±0.1","±0.2","±0.1","±0.3","±0.4","","±0.3","±0.4","±0.4","±0.3","±0.3","±0.3","±0.2","","±0.4","±0.6","±0.7","±0.7","","±0.4","±0.6","±0.5","±0.4","±0.4","±0.3"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","162,740","","","75.9%","9.5%","0.9%","3.0%","0.1%","8.2%","2.5%","17.8%","68.0%","","31.6%","18.1%","18.1%","13.7%","8.5%","5.9%","4.2%","","20.2%","28.1%","30.7%","21.0%","","45.1%","41.5%","8.8%","2.7%","1.0%","1.0%"
"        Margin of Error","±2,072","","","±0.7","±0.5","±0.1","±0.2","±0.1","±0.5","±0.3","±0.5","±0.7","","±0.7","±0.6","±0.7","±0.5","±0.4","±0.4","±0.3","","±0.8","±0.8","±0.9","±0.6","","±0.9","±0.9","±0.4","±0.3","±0.1","±0.2"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,795,715","","","70.4%","26.1%","0.3%","1.1%","0.0%","1.0%","1.0%","3.5%","68.2%","","18.9%","17.1%","19.9%","19.7%","14.3%","7.5%","2.6%","","13.7%","27.5%","31.5%","27.2%","","23.9%","41.6%","16.4%","7.8%","5.7%","4.6%"
"        Margin of Error","±5,585","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,232,154","","","77.1%","20.1%","0.3%","1.0%","0.0%","0.6%","0.8%","2.2%","75.6%","","10.3%","15.8%","20.8%","22.9%","17.9%","9.4%","2.9%","","11.5%","26.8%","30.5%","31.2%","","10.7%","43.1%","21.6%","10.5%","7.8%","6.2%"
"        Margin of Error","±7,082","","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.2","±0.3","±0.2","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","563,561","","","55.7%","39.0%","0.4%","1.4%","0.1%","2.0%","1.4%","6.2%","51.9%","","37.9%","20.0%","17.9%","12.7%","6.4%","3.3%","1.8%","","18.6%","29.2%","33.8%","18.5%","","52.8%","38.4%","5.1%","1.9%","1.0%","0.9%"
"        Margin of Error","±4,509","","","±0.4","±0.4","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.4","","±0.5","±0.4","±0.4","±0.3","±0.2","±0.1","±0.1","","±0.4","±0.4","±0.5","±0.4","","±0.4","±0.4","±0.2","±0.1","±0.1","±0.1"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","327,101","","","90.6%","1.2%","5.5%","0.8%","0.0%","0.6%","1.3%","2.0%","89.4%","","22.7%","15.6%","19.5%","18.8%","11.7%","7.8%","3.8%","","8.6%","29.7%","34.6%","27.2%","","25.4%","41.1%","16.4%","7.8%","5.2%","4.1%"
"        Margin of Error","±1,655","","","±0.2","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.3","±0.3","±0.3","±0.2","±0.2","±0.2","±0.2","","±0.3","±0.4","±0.5","±0.4","","±0.5","±0.5","±0.4","±0.3","±0.2","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","222,589","","","94.9%","0.4%","3.0%","0.4%","0.0%","0.4%","0.9%","1.2%","94.1%","","14.0%","16.0%","22.0%","22.4%","14.2%","8.6%","2.9%","","6.4%","29.6%","33.5%","30.6%","","13.1%","42.4%","21.2%","10.4%","7.2%","5.6%"
"        Margin of Error","±1,662","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.4","±0.3","±0.4","±0.4","±0.2","±0.3","±0.2","","±0.2","±0.5","±0.6","±0.5","","±0.4","±0.6","±0.4","±0.4","±0.3","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","104,512","","","81.5%","2.9%","10.6%","1.5%","0.1%","1.2%","2.2%","3.7%","79.4%","","41.4%","14.9%","14.3%","11.1%","6.5%","6.2%","5.6%","","13.2%","29.8%","36.9%","20.1%","","51.5%","38.2%","6.2%","2.2%","0.9%","1.0%"
"        Margin of Error","±1,513","","","±0.6","±0.3","±0.5","±0.2","±0.1","±0.2","±0.3","±0.3","±0.7","","±0.9","±0.7","±0.7","±0.5","±0.4","±0.4","±0.4","","±0.6","±0.8","±0.9","±0.7","","±0.9","±0.9","±0.4","±0.3","±0.2","±0.1"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,487,349","","","80.5%","15.7%","0.3%","1.2%","0.0%","1.0%","1.2%","3.2%","78.5%","","19.6%","17.9%","20.1%","19.2%","13.3%","7.3%","2.6%","","13.8%","30.6%","29.5%","26.0%","","24.9%","41.3%","16.7%","7.6%","5.3%","4.2%"
"        Margin of Error","±6,925","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,669,953","","","86.5%","10.7%","0.2%","1.1%","0.0%","0.5%","1.0%","1.8%","85.2%","","10.7%","16.8%","21.7%","22.4%","16.5%","9.2%","2.8%","","11.8%","30.0%","28.4%","29.8%","","10.7%","42.9%","22.5%","10.5%","7.4%","5.9%"
"        Margin of Error","±9,792","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","817,396","","","68.4%","25.9%","0.3%","1.5%","0.1%","2.1%","1.8%","5.9%","64.8%","","37.7%","20.1%","17.0%","12.8%","6.7%","3.6%","2.0%","","18.0%","31.9%","31.8%","18.3%","","53.7%","38.1%","5.0%","1.6%","0.8%","0.8%"
"        Margin of Error","±5,718","","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.3","","±0.4","±0.3","±0.3","±0.3","±0.2","±0.1","±0.1","","±0.3","±0.4","±0.4","±0.4","","±0.4","±0.4","±0.2","±0.1","±0.1","±0.1"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,013,582","","","76.7%","12.3%","0.5%","3.7%","0.1%","5.1%","1.7%","30.0%","52.7%","","22.9%","20.1%","20.7%","17.4%","10.9%","5.9%","2.1%","","15.9%","22.6%","31.6%","29.9%","","29.4%","43.0%","14.4%","6.4%","4.1%","2.8%"
"        Margin of Error","±16,898","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,652,542","","","81.8%","8.4%","0.5%","3.6%","0.0%","4.2%","1.4%","27.3%","59.5%","","11.8%","19.0%","23.3%","21.6%","14.1%","7.7%","2.5%","","14.1%","21.4%","30.2%","34.3%","","12.6%","46.7%","20.7%","9.5%","6.3%","4.2%"
"        Margin of Error","±27,547","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,361,040","","","68.0%","18.7%","0.5%","3.9%","0.1%","6.6%","2.1%","34.6%","41.2%","","41.5%","21.8%","16.3%","10.5%","5.3%","3.0%","1.6%","","19.1%","24.7%","33.8%","22.4%","","57.7%","36.6%","3.7%","1.2%","0.5%","0.4%"
"        Margin of Error","±15,065","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","896,194","","","90.8%","0.9%","1.0%","2.0%","0.6%","3.3%","1.3%","10.2%","84.4%","","26.9%","20.3%","18.0%","16.3%","10.2%","5.9%","2.4%","","7.6%","20.5%","38.9%","33.0%","","27.5%","44.0%","14.7%","5.9%","4.6%","3.3%"
"        Margin of Error","±2,411","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.3","±0.3","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","624,605","","","93.4%","0.4%","0.8%","1.8%","0.3%","2.3%","1.0%","7.5%","88.6%","","17.3%","20.5%","20.3%","19.3%","12.6%","7.3%","2.6%","","5.7%","19.4%","37.2%","37.7%","","13.6%","47.5%","19.7%","8.1%","6.5%","4.6%"
"        Margin of Error","±3,803","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","","±0.2","±0.3","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.3","±0.4","±0.4","","±0.2","±0.3","±0.3","±0.2","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","271,589","","","84.9%","2.0%","1.7%","2.5%","1.2%","5.6%","2.1%","16.5%","74.7%","","49.1%","19.8%","12.7%","9.2%","4.6%","2.7%","2.0%","","12.0%","22.9%","42.9%","22.2%","","59.3%","36.0%","3.3%","0.8%","0.4%","0.3%"
