"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","Households","Households!!One race--","Households!!One race--!!White","Households!!One race--!!Black or African American","Households!!One race--!!American Indian and Alaska Native","Households!!One race--!!Asian","Households!!One race--!!Native Hawaiian and Other Pacific Islander","Households!!One race--!!Some other race","Households!!Two or more races","Hispanic or Latino origin (of any race)","White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children under 18 years","FAMILIES!!Families!!With no own children under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Female householder, no husband present","FAMILIES!!Families!!Male householder, no wife present","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","PERCENT IMPUTED","PERCENT IMPUTED!!Household income in the past 12 months","PERCENT IMPUTED!!Family income in the past 12 months","PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","585,259","","93.9%","0.5%","1.2%","1.1%","0.1%","1.7%","1.6%","7.9%","88.1%","","5.7%","33.9%","37.6%","22.8%","","406,703","45.9%","54.1%","79.9%","13.9%","6.2%","","178,556","51.8%","43.2%","8.6%","48.2%","36.7%","11.5%","","27.8%","27.6%","26.8%"
"        Margin of Error","","±2,354","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.2","","±2,641","±0.4","±0.4","±0.5","±0.4","±0.3","","±2,405","±0.7","±0.7","±0.4","±0.7","±0.7","±0.6","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","47,334","","47,996","33,391","37,438","53,582","29,944","35,197","36,213","37,346","48,929","","25,338","51,087","57,970","35,876","","56,922","53,897","59,361","64,066","28,517","39,948","","26,921","23,737","21,526","41,324","30,916","27,374","43,592","","(X)","(X)","(X)"
"        Margin of Error","","±444","","±448","±7,758","±2,641","±5,472","±11,900","±2,361","±5,551","±1,350","±476","","±1,070","±616","±1,059","±525","","±535","±892","±778","±668","±818","±1,984","","±429","±536","±441","±2,777","±603","±672","±1,713","","(X)","(X)","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,778,633","","76.6%","13.8%","0.2%","4.2%","0.0%","3.9%","1.2%","11.0%","70.0%","","3.6%","34.5%","39.7%","22.2%","","3,131,125","45.0%","55.0%","73.6%","19.4%","7.0%","","1,647,508","53.9%","46.5%","7.4%","46.1%","36.7%","9.4%","","30.7%","31.5%","27.8%"
"        Margin of Error","","±11,513","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±10,756","±0.2","±0.2","±0.2","±0.1","±0.1","","±6,996","±0.2","±0.3","±0.1","±0.2","±0.2","±0.2","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","57,166","","62,152","34,174","41,567","75,890","73,264","44,842","48,716","46,782","63,847","","24,207","62,340","70,284","38,325","","70,967","67,694","73,048","85,287","33,254","47,376","","34,050","29,595","26,594","57,238","40,162","35,695","62,933","","(X)","(X)","(X)"
"        Margin of Error","","±203","","±231","±367","±2,164","±1,179","±12,306","±807","±1,897","±435","±270","","±624","±362","±354","±237","","±326","±622","±342","±348","±307","±640","","±246","±283","±230","±1,110","±354","±385","±1,270","","(X)","(X)","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,492,183","","86.7%","8.8%","0.2%","1.5%","0.0%","1.6%","1.1%","4.2%","84.3%","","4.9%","33.2%","39.5%","22.5%","","1,656,156","44.0%","56.0%","74.5%","18.7%","6.9%","","836,027","52.6%","45.3%","7.3%","47.4%","37.7%","9.8%","","26.8%","26.7%","25.5%"
